a,b,c,L,exact,degenerate,nodes,secs,word
1,2,10,245,0,0,400000144,8.960,"0,1,0,2,0,1,0,10,0,1,0,2,1,0,1,10,2,0,2,1,0,2,10,0,10,1,0,2,10,2,1,10,2,10,0,10,1,0,10,0,2,0,10,0,1,0,2,1,2,10,2,1,0,10,0,1,0,2,0,1,0,10,1,2,1,0,2,1,2,10,2,1,2,0,2,10,0,10,1,2,1,10,0,1,0,2,0,1,0,10,0,1,2,10,2,0,10,2,10,1,10,0,10,1,10,2,1,0,10,0,2,0,1,10,2,1,2,0,2,1,2,10,2,0,10,2,10,1,10,2,10,0,2,0,1,10,2,10,0,10,1,10,0,10,2,0,1,0,10,2,0,2,1,2,10,2,0,10,1,10,2,0,10,0,1,0,10,0,2,0,1,10,2,10,0,2,0,1,0,2,0,10,2,0,2,1,2,10,2,1,2,0,1,0,10,0,2,1,2,0,2,10,0,10,1,10,0,2,10,2,1,10,2,10,0,10,1,10,0,10,2,0,10,0,1,0,2,1,2,10,1,0,1,2,0,1,0,10,0,1,0,2,0,1,0"
1,3,10,238,0,0,400000180,8.912,"0,1,0,3,0,1,0,10,0,1,0,3,1,0,1,10,1,3,1,0,3,0,10,0,1,0,10,0,3,10,0,1,10,3,1,3,0,1,0,10,3,0,1,10,1,3,10,1,10,0,10,1,10,3,10,0,3,1,3,10,0,3,0,1,3,0,3,10,1,10,3,0,10,0,1,0,10,0,3,0,1,3,1,10,1,0,1,3,0,1,0,10,0,1,0,3,1,3,10,0,1,0,10,0,3,0,10,0,1,10,3,10,0,3,0,1,3,0,3,10,3,1,10,1,0,10,1,10,3,10,0,3,0,1,0,10,0,3,10,0,10,1,10,0,10,3,10,1,3,10,3,0,10,1,10,0,10,3,10,0,1,10,1,3,1,0,1,10,0,1,0,3,10,0,10,1,10,0,10,3,10,0,1,3,1,10,1,3,0,3,10,3,0,1,0,10,1,0,1,3,1,0,1,10,1,3,10,0,10,1,0,10,0,3,0,1,0,10,1,10,3,10,0,10,1,10,3,1,0,1,10,3,10,0,3,0,1,3"
2,3,10,216,0,0,400000184,8.470,"0,2,0,3,0,2,0,10,0,2,0,3,2,0,2,10,2,0,2,3,2,10,3,0,3,2,10,2,0,2,10,3,10,0,2,0,10,3,0,3,2,3,0,10,2,0,10,0,3,10,2,10,3,10,0,10,3,2,10,2,0,10,2,10,3,10,0,10,3,10,2,3,10,3,0,2,3,2,10,3,10,0,3,0,2,0,10,2,3,2,0,10,2,10,3,10,2,10,0,10,3,0,2,3,10,3,0,2,0,10,0,2,3,10,2,10,0,2,0,3,2,3,10,0,3,0,2,0,10,0,2,0,3,2,0,2,10,2,0,2,3,2,10,3,0,3,2,10,2,0,2,10,3,10,0,3,10,2,0,3,2,0,2,10,0,3,0,10,0,2,10,2,3,0,10,3,10,2,10,3,10,0,10,2,0,2,3,0,3,10,3,2,3,10,3,0,10,3,10,2,0,2,3,0,3,10,0,2,0,3,10,0,10,2,10,0"
1,4,10,230,0,0,400000264,8.776,"0,1,0,4,0,1,0,10,0,1,0,4,1,0,1,10,1,0,1,4,1,10,4,0,4,1,0,1,10,0,1,0,4,0,10,4,0,4,1,4,10,1,0,10,4,0,10,1,0,1,4,1,0,1,10,1,4,10,4,0,4,10,1,10,4,10,0,4,0,1,0,4,10,4,1,4,0,1,10,0,1,0,4,0,1,0,10,0,4,10,1,10,4,10,0,4,0,1,4,0,4,10,4,1,4,10,4,0,10,4,10,1,10,4,10,0,10,1,0,10,0,4,10,4,1,10,4,10,0,4,10,4,1,0,4,0,10,0,1,0,4,0,10,4,10,1,4,0,4,1,10,1,0,4,0,1,0,10,0,1,0,4,1,10,1,4,1,0,1,4,10,0,4,10,4,1,10,0,1,0,4,0,10,0,4,0,1,4,10,4,0,10,4,10,1,10,4,10,0,10,1,0,1,4,10,1,0,10,0,4,0,1,4,1,10,1,0,1,10,1,4,10,0,1,0,10,0,4,10,4"
3,4,10,238,0,0,400000184,8.619,"0,3,0,4,0,3,0,10,0,3,0,4,3,0,3,10,3,0,3,4,3,10,4,0,4,3,0,4,0,10,0,3,0,4,3,0,3,10,3,0,3,4,0,4,10,0,10,3,10,0,4,10,4,3,4,0,4,10,0,3,0,4,3,0,3,10,0,4,10,0,10,3,0,4,3,0,10,3,10,4,10,3,10,0,10,4,0,10,0,3,0,4,0,10,4,3,4,10,0,10,4,3,10,3,0,10,3,10,4,10,0,10,4,10,3,4,10,4,0,4,3,4,10,3,10,0,10,3,4,10,4,0,10,0,3,0,4,0,3,0,10,3,4,3,10,3,0,10,0,4,10,3,10,4,0,10,4,3,4,0,4,10,0,3,10,3,4,3,0,4,3,4,10,0,4,0,3,0,10,0,3,0,4,3,0,3,10,3,0,3,4,3,10,4,0,4,3,0,4,0,10,0,3,10,3,4,10,4,0,10,3,10,4,3,10,3,0,3,4,0,3,0,10,4,3,10,4,10,0,3,0,10,0,3,4,10,3,4"
1,5,10,266,0,0,400000204,9.203,"0,1,0,5,0,1,0,10,0,1,0,5,1,0,1,10,1,0,1,5,1,10,5,0,10,1,0,1,5,0,1,0,10,0,5,0,10,0,1,10,5,10,0,5,10,5,1,10,0,1,0,5,1,0,1,10,1,5,1,10,1,0,10,1,10,5,0,10,5,1,5,10,0,5,0,1,0,10,1,10,5,0,5,1,10,5,10,0,10,5,10,1,10,5,0,1,0,10,1,10,5,10,1,10,0,1,10,1,5,1,0,1,5,1,10,5,1,0,10,0,5,0,1,10,1,5,1,0,1,5,1,10,5,10,0,10,5,1,10,5,10,0,5,0,1,0,5,10,0,10,1,0,1,5,1,10,0,5,10,5,1,10,1,0,1,5,1,0,1,10,0,1,0,5,10,5,1,0,1,10,0,1,0,5,0,10,0,5,0,1,5,10,0,10,5,10,1,5,1,0,5,1,5,10,1,5,1,0,5,0,10,0,5,1,10,5,10,0,10,5,10,1,10,0,1,10,1,5,0,5,10,1,10,0,1,10,1,5,1,0,1,5,1,10,5,0,1,0,10,0,5,10,5,1,10,5,0,1,0,10,1,0,1,5,1,0"
2,5,10,262,0,0,400000168,8.863,"0,2,0,5,0,2,0,10,0,2,0,5,2,0,2,10,2,0,2,5,2,10,5,0,10,2,5,10,0,5,0,2,0,5,0,10,0,5,2,5,10,0,10,5,10,2,0,2,5,0,2,0,10,2,5,2,10,2,0,10,5,10,0,10,2,10,0,5,2,0,5,0,10,5,2,10,5,10,0,10,5,10,2,10,0,2,10,2,5,0,5,10,2,10,0,2,10,2,5,2,10,2,0,2,5,0,5,10,0,5,2,0,2,10,2,5,0,10,5,10,2,10,5,10,0,10,2,0,10,0,5,0,2,0,5,0,10,5,10,2,10,5,0,2,0,10,2,0,2,5,2,10,5,0,10,0,2,0,5,0,2,0,10,2,0,2,5,2,0,2,10,2,5,10,2,10,0,5,2,0,5,0,10,5,10,2,0,10,2,5,2,10,0,2,0,5,0,2,0,10,0,5,10,0,10,2,0,5,2,10,5,10,0,10,5,10,2,10,0,2,10,2,5,2,10,2,0,10,0,5,0,10,0,2,10,0,10,5,2,10,2,0,2,5,2,10,2,0,10,0,5,0,2,0,10,2,5,2,10,0,2,10"
3,5,10,237,0,0,400000176,8.633,"0,3,0,5,0,3,0,10,0,3,0,5,3,0,3,10,3,0,3,5,3,10,5,3,5,0,5,10,0,3,10,3,5,10,0,5,0,3,0,5,0,10,0,3,5,3,10,5,10,0,10,5,10,3,10,0,5,0,10,0,3,5,3,10,3,0,3,10,3,5,10,5,0,10,5,10,3,10,0,10,3,10,5,3,10,3,0,3,10,3,5,3,0,5,3,5,10,5,0,10,3,0,3,5,3,10,0,10,5,10,3,10,5,10,0,5,0,3,0,10,0,3,0,5,3,0,3,10,3,5,10,5,0,3,5,3,10,3,0,3,5,0,3,0,10,0,3,0,5,0,10,5,0,5,3,0,3,10,3,0,5,0,3,0,10,3,10,5,10,3,0,10,0,5,10,0,10,3,10,5,10,3,10,0,3,10,3,5,0,5,10,3,5,3,0,3,10,3,0,3,5,0,3,10,5,0,3,5,0,5,10,5,0,5,3,5,10,3,5,3,0,3,5,3,10,5,10,0,10,5,10,3,5,10,0,3,0"
4,5,10,234,0,0,400000184,8.607,"0,4,0,5,0,4,0,10,0,4,0,5,4,0,4,10,4,0,4,5,4,10,5,10,0,10,5,4,5,10,5,4,0,4,10,0,4,0,5,0,10,0,5,0,4,5,0,10,5,10,4,10,0,5,0,10,0,4,5,4,10,4,0,4,10,4,5,10,5,0,10,5,10,4,10,0,10,4,10,5,4,10,4,0,4,10,4,5,4,0,5,4,5,10,5,0,10,4,0,4,5,4,10,0,10,5,10,4,10,5,10,0,5,0,4,0,10,0,4,0,5,4,0,4,10,4,5,10,5,0,4,5,4,10,4,0,4,5,0,4,0,10,0,4,0,5,0,10,5,0,5,4,0,4,10,4,0,5,0,4,0,10,4,10,5,10,4,0,10,0,5,10,0,10,4,10,5,10,4,10,0,4,10,4,5,0,5,10,4,10,0,5,0,4,0,10,0,4,0,5,4,10,4,5,4,0,4,5,10,4,10,0,10,4,10,5,10,4,0,4,5,0,5,10,0,4,5,10,4,10,0,10,4,5"
1,6,10,290,0,0,400000304,9.895,"0,1,0,6,0,1,0,10,0,1,0,6,1,0,1,10,1,0,1,6,1,10,6,0,6,1,0,1,10,0,1,0,6,0,10,0,6,0,1,6,0,10,1,6,10,1,10,0,10,1,6,10,6,0,6,1,6,10,1,0,1,10,1,6,1,10,0,6,10,0,10,1,0,6,1,0,1,10,1,0,1,6,1,10,6,1,6,0,6,10,6,1,10,1,0,1,6,1,10,1,0,10,6,10,1,6,10,6,0,10,0,1,10,0,10,6,10,1,10,6,10,0,6,10,6,1,6,10,6,0,6,1,0,10,1,10,6,1,6,0,6,1,6,10,1,6,1,0,1,10,1,0,1,6,0,10,6,10,1,6,10,6,0,6,1,0,1,10,1,0,6,10,0,10,1,10,0,6,10,6,1,10,1,0,1,6,0,6,10,1,6,1,0,1,10,1,0,1,6,0,1,0,10,0,6,0,1,6,1,10,0,1,6,0,6,10,6,0,6,1,6,0,10,0,1,10,0,10,6,10,1,10,6,10,0,6,1,0,1,10,0,6,10,6,1,6,0,6,1,6,10,1,6,0,1,0,10,1,0,1,6,1,10,6,0,6,1,10,6,10,0,10,1,0,6,1,0,1,10,0,10,6,0,1,6,1,10,1,6,0"
3,6,10,232,0,0,400000248,8.487,"0,3,0,6,0,3,0,10,0,3,0,6,3,0,3,10,6,0,6,3,6,10,0,10,3,6,3,0,10,0,6,10,0,10,3,10,0,10,6,10,3,6,10,6,0,10,0,3,10,0,6,10,6,3,6,0,6,3,6,10,3,0,6,0,3,0,10,6,10,0,3,10,6,3,6,0,3,10,0,3,0,6,0,3,0,10,0,6,10,0,10,3,10,6,10,3,10,0,3,6,3,0,10,0,6,0,3,6,3,10,6,3,0,6,0,10,6,10,3,10,6,0,10,0,3,10,0,10,6,10,3,10,6,10,0,6,10,6,3,0,3,10,6,10,0,6,10,6,3,6,10,6,0,6,3,0,3,10,0,3,6,10,6,0,10,6,10,3,10,0,3,6,3,10,0,3,0,6,0,3,0,10,0,3,6,3,10,0,10,6,0,10,0,3,10,6,3,10,0,10,3,6,10,6,0,6,10,6,3,6,10,0,3,10,6,3,10,0,3,0,6,3,6,10,0,3,10,6,3,10,0,3"
1,7,10,275,0,0,400000272,9.261,"0,1,0,7,0,1,0,10,0,1,0,7,1,0,1,10,1,0,1,7,1,10,7,0,7,1,0,1,10,0,1,0,7,0,10,7,0,7,1,0,1,10,7,10,1,10,0,7,0,10,1,0,1,7,1,10,1,0,10,7,10,1,7,10,7,0,7,1,0,10,1,10,7,10,0,1,0,10,0,7,0,10,0,1,10,7,1,7,0,7,10,7,1,10,7,10,0,10,7,10,1,10,0,1,10,1,7,10,7,0,10,7,1,10,1,0,1,7,0,7,10,0,7,0,1,0,10,1,0,1,7,1,10,1,7,1,0,7,0,10,7,1,10,1,0,10,1,10,7,10,0,10,7,10,1,7,1,0,7,1,7,10,0,7,0,1,0,10,0,7,0,1,7,10,1,0,1,10,7,10,0,1,10,0,7,0,1,7,1,10,1,0,1,7,0,1,0,10,0,1,0,7,0,10,7,0,7,1,0,10,0,1,0,7,1,10,1,7,0,7,10,0,7,0,1,7,1,10,1,0,10,1,10,7,10,0,7,10,7,1,7,0,1,7,1,10,1,0,1,7,0,1,0,10,0,1,0,7,1,7,10,1,10,0,10,7,10,1,7,0,7,10,7,0,7"
2,7,10,283,0,0,400000284,9.506,"0,2,0,7,0,2,0,10,0,2,0,7,2,0,2,10,2,0,2,7,2,10,7,0,7,2,0,2,10,0,2,0,7,0,10,0,7,0,2,7,0,10,2,7,10,7,0,7,10,7,2,7,0,2,7,2,10,0,2,0,7,0,10,0,7,0,2,7,2,10,7,2,7,0,10,7,10,2,10,7,10,0,10,7,2,0,2,10,0,2,0,7,0,10,7,2,10,7,0,10,0,2,10,0,10,7,10,2,10,7,10,0,7,10,7,2,7,10,7,0,7,2,0,10,2,10,7,10,0,10,2,0,10,0,7,0,2,7,0,7,10,2,10,7,10,0,7,2,7,0,10,0,7,2,0,2,10,2,0,7,2,7,10,2,7,2,0,2,10,2,0,2,7,0,2,0,10,0,2,0,7,0,10,7,2,10,0,2,0,7,2,0,2,10,7,2,7,0,7,10,7,2,10,2,0,10,0,7,0,10,2,0,2,7,0,2,0,10,0,7,0,10,0,2,10,2,7,10,0,10,2,7,10,7,0,10,7,10,2,0,2,10,7,2,7,0,7,10,0,7,0,2,0,10,0,2,0,7,2,0,10,7,10,0,10,7,2,0,2,10,0,2,7,10,7,2,7,0,7,2,7,10,2"
3,7,10,60,1,1,7707316,0.101,"0,10,3,0,7,10,7,3,10,3,0,3,10,7,10,3,10,7,0,7,3,0,3,10,3,0,7,0,3,0,7,10,7,0,7,10,3,10,7,10,0,7,0,3,10,3,0,3,10,7,10,3,10,0,3,0,7,10,3,7"
1,8,10,353,0,0,400000448,10.918,"0,1,0,8,0,1,0,10,0,1,0,8,1,0,1,10,1,0,1,8,1,10,8,0,8,1,0,1,10,0,10,8,10,0,10,1,0,10,0,8,0,1,8,1,10,8,0,8,1,0,8,0,10,0,1,0,8,1,0,1,10,1,8,1,0,8,10,0,1,10,1,8,10,1,10,0,8,10,8,1,8,10,8,0,8,1,0,10,0,8,10,0,10,1,0,10,0,8,1,8,10,0,10,8,1,10,1,0,10,1,10,8,10,0,10,8,10,1,8,10,8,0,8,10,8,1,8,0,1,10,1,8,10,8,0,10,8,10,1,10,0,1,10,1,8,1,0,8,1,8,10,8,0,8,1,0,1,10,1,0,1,8,0,1,0,10,8,1,10,1,0,10,8,1,8,0,8,10,8,0,8,1,0,10,0,1,0,8,0,1,10,8,1,8,0,1,0,10,0,1,0,8,1,0,1,10,1,8,1,10,1,0,10,8,1,0,10,1,0,1,8,10,8,0,10,0,1,0,8,0,10,8,0,8,1,10,8,10,0,10,8,10,1,10,0,1,10,1,8,0,1,8,10,8,1,0,1,10,0,1,0,8,0,1,0,10,0,8,10,8,1,10,0,1,10,1,8,10,8,0,8,10,1,8,1,0,8,1,8,10,8,0,8,10,8,1,10,8,10,0,10,8,10,1,10,0,1,10,1,8,0,8,1,8,10,8,1,8,0,1,0,10,0,1,0,8,0,10,1,10,8,1,10,1,0,8,0,10,1,10,0,8,10,8,1,10,8,10,0,1,10,0,8"
1,9,10,60,1,1,7707828,0.100,"0,10,1,0,9,10,9,1,10,1,0,1,10,9,10,1,10,9,0,9,1,0,1,10,1,0,9,0,1,0,9,10,9,0,9,10,1,10,9,10,0,9,0,1,10,1,0,1,10,9,10,1,10,0,1,0,9,10,1,9"
1,2,11,285,0,0,400000172,9.136,"0,1,0,2,0,1,0,11,0,1,0,2,1,0,1,11,2,0,2,1,0,2,11,0,11,1,0,11,2,1,2,11,2,0,2,11,1,0,11,2,11,1,0,1,2,0,1,0,11,0,2,0,11,0,1,11,0,11,2,11,1,11,0,1,0,2,1,2,11,0,2,11,1,11,2,0,11,0,1,11,0,11,2,11,1,11,2,11,0,2,11,2,1,2,11,2,0,2,1,0,1,11,0,2,11,2,1,11,2,11,0,11,1,11,0,11,2,0,11,0,1,0,11,0,2,0,1,2,1,11,0,2,11,1,11,0,2,0,11,1,0,2,1,2,11,2,1,2,0,2,1,11,1,0,2,0,1,0,11,0,1,0,2,1,11,2,1,0,1,2,11,1,11,0,11,1,2,1,0,2,0,11,0,1,0,11,0,2,11,0,11,1,11,0,11,2,11,1,2,1,0,1,11,0,11,2,11,1,11,2,11,0,2,11,2,1,2,0,2,11,0,1,0,11,0,2,11,2,1,11,2,11,0,11,1,0,11,0,2,0,11,0,1,0,2,1,2,11,1,0,1,2,0,1,0,11,0,1,0,2,1,2,11,2,0,2,11,2,1,11,2,0,11,0,1,0,2,11,1,2,11,2,0,11,0"
1,3,11,288,0,0,400000208,9.438,"0,1,0,3,0,1,0,11,0,1,0,3,1,0,1,11,1,3,1,0,3,0,11,0,1,0,11,0,3,11,0,1,11,1,3,1,0,3,0,11,1,3,0,11,3,11,1,11,3,11,0,11,1,0,11,0,3,0,1,3,0,3,11,1,11,0,11,3,0,3,1,3,11,3,0,11,3,11,1,11,3,11,0,11,1,0,11,0,3,11,1,11,3,0,3,1,11,1,0,1,11,3,11,1,0,11,0,3,0,1,0,3,0,11,3,1,0,1,3,1,11,3,11,0,3,0,1,11,0,11,3,11,0,11,1,11,3,1,11,1,0,3,1,3,11,3,0,3,1,0,3,0,11,1,11,0,11,3,1,3,0,1,3,1,11,1,0,1,3,0,1,0,11,0,1,0,3,0,11,3,1,3,0,1,3,1,11,1,0,11,0,3,0,1,3,11,3,0,11,3,11,1,11,0,11,3,0,1,3,1,11,1,3,0,1,0,11,0,1,0,3,0,11,1,3,11,3,0,11,0,1,11,0,11,3,11,1,11,3,11,0,3,1,3,0,3,11,0,11,1,11,0,11,3,0,11,0,1,0,3,0,11,3,0,3,1,3,0,3,11,3,1,11,1,0,11,0,3,0,1,3,0,3,11,1,3,11,0"
2,3,11,268,0,0,400000180,9.349,"0,2,0,3,0,2,0,11,0,2,0,3,2,0,2,11,2,0,2,3,2,11,3,0,3,2,0,2,11,0,2,0,3,11,0,11,2,11,0,11,3,11,2,3,0,3,11,0,3,0,2,3,0,3,11,2,3,11,0,11,3,2,11,2,0,11,2,11,3,11,0,11,3,11,2,3,11,3,0,3,2,3,11,2,11,0,11,2,3,0,2,3,2,11,2,3,0,2,0,11,0,3,0,2,3,11,2,11,0,11,3,11,2,3,0,3,2,11,2,0,11,2,3,0,3,11,0,3,0,2,0,11,0,2,0,3,2,3,11,0,2,0,3,2,0,2,11,2,0,2,3,0,3,11,2,3,2,0,3,2,3,11,0,11,3,11,0,2,3,2,0,2,11,2,0,3,2,0,11,0,3,0,2,3,11,2,11,0,11,3,11,2,3,0,3,2,11,2,3,0,2,0,11,0,3,11,2,3,2,0,3,2,3,11,3,0,3,11,3,2,11,3,0,2,11,0,11,3,11,0,11,2,11,3,2,11,2,0,11,0,3,11,3,2,3,0,3,11,0,2,0,11,3,11,0,11,2,3,2,0,11,0,2,3,0,3,11,3"
1,4,11,336,0,0,400000220,10.597,"0,1,0,4,0,1,0,11,0,1,0,4,1,0,1,11,1,0,1,4,1,11,4,0,4,1,0,1,11,0,1,0,4,0,11,0,4,0,1,4,0,11,1,4,11,1,11,0,1,11,4,0,1,4,0,4,11,4,0,4,1,0,1,11,1,0,1,4,1,11,4,1,4,0,1,0,11,1,11,4,11,0,11,4,11,1,4,11,4,0,4,1,0,11,0,4,11,0,11,1,0,1,4,1,11,1,0,11,4,11,0,11,1,11,0,4,11,4,1,11,4,11,0,11,1,11,0,11,4,0,11,0,1,0,4,0,11,4,11,1,11,0,11,1,11,4,1,0,1,11,0,11,4,0,4,1,0,4,0,11,1,0,1,4,1,0,1,11,1,4,11,4,0,4,11,1,0,11,1,11,4,11,1,0,11,0,4,11,0,1,11,4,1,4,0,1,0,11,0,1,4,0,4,11,0,4,0,1,0,11,0,1,0,4,1,0,1,11,1,4,1,0,4,0,11,0,1,0,11,0,4,11,1,11,4,0,4,1,11,1,0,1,4,0,4,11,0,4,1,0,1,11,1,4,1,11,1,0,11,1,4,11,4,0,11,4,11,1,11,0,11,1,11,4,1,11,0,4,0,11,0,1,0,11,4,0,4,1,4,11,0,11,1,4,1,11,0,1,0,4,1,4,11,1,0,11,0,4,0,11,0,1,0,4,1,4,11,1,0,1,4,0,1,0,11,0,4,0,1,4,0,4,11,1,11,4"
2,4,11,260,0,0,400000168,9.296,"0,2,0,4,0,2,0,11,0,2,0,4,2,0,2,11,4,0,4,2,0,4,11,0,11,2,0,4,11,4,2,11,4,11,0,11,2,0,11,0,4,0,11,0,2,0,4,2,4,11,4,2,0,11,0,2,0,4,0,2,0,11,2,4,2,0,4,2,4,11,4,2,4,0,4,11,0,11,2,4,2,11,0,2,0,4,0,2,0,11,0,2,4,11,4,0,11,4,11,2,11,0,11,2,11,4,2,0,11,0,4,0,2,11,4,2,4,0,4,2,4,11,4,0,11,4,11,2,11,4,11,0,4,0,2,11,4,11,0,11,2,11,0,11,4,0,2,0,11,4,0,4,2,4,11,4,0,11,2,11,4,0,11,0,2,0,11,0,4,0,2,11,4,11,0,4,0,2,0,4,0,11,0,2,4,2,0,2,4,11,4,0,4,2,4,0,4,11,0,11,2,0,4,11,4,2,11,4,11,0,11,2,11,0,11,4,0,2,0,4,0,11,4,2,11,4,11,0,2,4,2,11,2,0,4,0,2,0,11,0,2,0,4,2,11,2,0,4,2,4,11,2,11,0,2,11,2,4,0,2"
3,4,11,310,0,0,400000172,9.814,"0,3,0,4,0,3,0,11,0,3,0,4,3,0,3,11,3,0,3,4,3,11,4,0,4,11,3,4,11,0,11,3,0,3,4,0,3,0,11,0,4,0,11,0,3,11,0,4,3,4,11,4,0,4,11,4,3,11,3,0,11,3,11,4,11,0,11,4,11,3,4,11,4,0,4,3,4,0,4,11,0,3,0,11,0,4,11,4,3,11,3,0,4,3,4,11,3,4,3,0,11,0,4,0,3,4,3,11,3,0,3,4,0,3,0,11,0,4,0,3,4,0,4,11,4,3,4,0,3,11,3,0,3,4,0,11,3,4,0,4,11,0,11,3,4,11,0,3,0,4,0,11,0,4,0,3,4,11,4,0,11,4,11,3,11,0,11,4,0,3,4,0,4,11,0,11,3,0,3,4,3,11,0,11,3,11,4,3,4,0,4,11,4,3,11,4,11,0,11,4,11,3,11,0,3,11,3,4,11,0,4,11,4,3,11,3,0,3,4,0,3,0,11,0,4,0,3,4,11,3,11,0,11,4,11,3,4,11,4,0,4,3,0,4,0,11,3,4,11,4,0,11,0,3,0,4,0,3,0,11,3,0,3,4,3,11,3,0,11,0,4,0,3,0,4,0,11,4,3,11,4,11,0,3,0,4,0,11,4,11,3,11,0,11,3,11,4,3,11,3,0,4,11,4,3,11,3,0,3,11"
1,5,11,354,0,0,400000296,10.477,"0,1,0,5,0,1,0,11,0,1,0,5,1,0,1,11,1,0,1,5,1,11,5,0,5,11,1,5,11,0,5,0,1,0,5,0,11,0,1,5,1,11,1,5,0,11,5,11,1,11,5,11,0,11,1,0,5,0,1,0,11,0,1,5,11,1,5,1,0,1,5,11,1,11,0,11,1,11,5,11,0,1,5,1,11,5,11,0,11,5,11,1,5,11,5,0,5,1,0,5,0,11,1,11,5,11,1,0,1,5,1,0,11,0,1,0,5,1,5,11,5,0,5,1,0,5,0,11,0,1,0,5,1,0,1,11,1,0,1,5,0,5,11,0,1,5,11,1,5,1,0,1,5,11,1,11,0,11,5,1,5,0,1,0,11,0,5,0,1,5,11,5,0,11,5,11,1,11,0,11,1,11,5,1,0,5,11,5,0,1,0,11,1,0,1,5,1,11,1,0,11,1,11,5,11,0,11,5,11,1,5,1,0,5,11,5,1,11,5,11,0,11,5,11,1,11,0,1,11,1,5,11,5,0,11,1,0,1,5,0,11,1,5,0,5,11,0,11,1,11,5,11,0,5,11,5,1,5,11,5,0,5,1,0,11,0,1,0,5,1,5,11,1,5,0,5,1,5,11,1,11,0,11,5,1,5,0,1,5,1,11,1,5,1,0,1,11,0,1,0,5,0,11,5,0,5,1,0,11,0,1,5,1,11,1,0,11,0,5,11,5,1,5,0,5,1,5,11,1,0,11,0,5,11,5,1,11,0,11,5,1,11,1,0,11,1,11,5,0,5,1,5,11,1"
2,5,11,269,0,0,400000316,9.129,"0,2,0,5,0,2,0,11,0,2,0,5,2,0,2,11,2,0,2,5,2,11,5,0,5,2,0,2,11,0,2,0,5,0,11,5,0,5,2,5,11,2,0,11,2,11,5,0,2,5,2,11,5,11,0,11,5,11,2,11,0,2,0,5,0,2,0,11,0,5,11,5,2,5,0,11,0,2,11,0,11,5,11,2,11,5,11,0,5,11,5,2,5,11,5,0,5,2,0,11,0,2,5,2,11,2,5,0,11,5,11,2,11,5,0,11,0,2,0,11,5,0,5,2,0,2,11,2,0,2,5,0,2,0,11,5,2,5,0,5,11,2,11,0,5,11,2,5,2,0,2,11,2,0,2,5,0,2,0,11,5,2,5,0,2,0,11,0,2,0,5,0,11,5,2,5,0,2,5,2,11,2,0,11,0,5,0,2,11,5,11,2,11,5,0,5,2,0,5,0,11,0,2,0,11,0,5,11,5,2,11,2,0,11,5,11,2,5,11,5,0,11,5,11,2,5,2,0,2,11,2,5,2,0,5,0,11,5,0,5,2,0,5,0,11,2,0,2,5,0,5,11,0,11,2,0,2,5,11,2,11,0,11,5,0,5,2,5,11"
3,5,11,292,0,0,400000328,9.821,"0,3,0,5,0,3,0,11,0,3,0,5,3,0,3,11,3,0,3,5,3,11,5,0,5,3,0,3,11,0,11,5,11,0,11,3,11,5,3,11,3,0,3,5,0,11,0,3,5,0,5,11,5,3,5,11,5,0,11,0,3,11,0,11,5,11,3,11,5,11,0,5,11,3,0,5,3,5,11,5,3,5,0,5,11,0,5,0,3,0,11,3,11,5,3,5,0,5,11,0,5,0,3,0,11,0,3,0,5,3,0,3,11,3,0,3,5,3,11,5,0,11,0,3,0,5,0,11,5,3,5,11,5,0,11,3,0,5,3,0,11,3,11,5,11,0,11,5,11,3,5,3,0,5,3,5,11,5,0,5,11,5,3,11,5,11,0,3,0,5,11,5,3,11,5,11,0,11,5,11,3,11,0,3,11,3,5,11,0,11,5,3,11,5,0,11,0,3,0,5,3,5,11,5,0,5,11,5,3,11,5,11,0,11,3,11,5,3,5,0,3,11,3,0,3,5,0,5,11,5,0,3,0,5,0,11,5,11,3,11,5,0,11,0,3,11,3,5,3,0,3,11,0,3,0,5,0,3,0,11,0,5,11,5,3,5,0,11,5,0,3,0,11,5,11,3,0,3,5,11,5,0,11,5,11,3,5,0,5,11,0,11"
4,5,11,257,0,0,400000208,8.890,"0,4,0,5,0,4,0,11,0,4,0,5,4,0,4,11,4,0,4,5,4,11,5,0,5,4,0,4,11,0,4,0,5,0,11,0,5,0,4,5,4,11,5,11,0,4,11,5,4,5,0,4,5,4,11,4,0,11,5,11,0,11,4,11,0,5,11,5,4,11,5,11,0,11,4,11,0,11,5,0,11,0,4,0,5,4,11,5,11,0,11,4,5,11,4,0,4,5,0,4,0,11,0,5,0,4,5,11,5,0,11,5,11,4,11,5,11,0,11,4,0,4,5,4,0,4,11,4,5,0,5,4,5,0,11,0,4,0,11,5,11,4,0,4,5,0,4,0,11,0,4,0,5,0,11,5,0,5,4,0,11,0,4,0,5,0,4,11,0,11,5,11,4,11,0,4,5,4,11,5,4,5,0,4,0,11,0,4,0,5,0,11,5,4,11,5,11,0,11,5,11,4,11,0,4,11,4,5,4,0,5,11,0,11,4,0,11,0,5,0,4,0,5,0,11,5,4,11,4,0,4,11,4,5,4,0,5,4,5,11,0,4,0,11,0,5,11,4,11,5,11,0,5,11,4,0,5"
